1;G1332,G1925;6.000000;6.000000;0.000000
2;G1089,G1563,G317;0.005890;0.005890;0.000000
3;G1724,G1770;0.000150;0.000150;0.000000
4;G1505,G1506;0.908483;0.908483;0.000000
5;G1105,G176,G1772;3.000000;3.000000;0.000000
6;G125,G1342,G1588,G1829,G147,G1676,G1792;9.600631;9.491716;0.266786
7;G1000,G1012;9.000000;9.000000;0.000000
8;G1513,G1910,G766,G817;0.516042;0.587335;0.123483
9;G130,G830,G552,G1644;9.080852;10.062880;1.700920
10;G83,G923;7.000000;7.000000;0.000000
11;G1533,G1627,G980;1.000000;1.000000;0.000000
12;G1316,G1318;7.000000;7.000000;0.000000
13;G1428,G73;0.022857;0.022857;0.000000
14;G1481,G681;9.000000;9.000000;0.000000
15;G1752,G589;9.981677;9.981677;0.000000
16;G1288,G368,G553,G566,G1411;6.936275;7.732171;2.589967
17;G1484,G192;5.497570;5.497570;0.000000
18;G1439,G1778;4.397858;4.397858;0.000000
19;G144,G287;10.000000;10.000000;0.000000
20;G951,G958;0.607361;0.607361;0.000000
21;G247,G654;2.000000;2.000000;0.000000
22;G1090,G1775,G1842,G271,G2059;2.000005;2.000005;0.000005
23;G1590,G249;1.000000;1.000000;0.000000
24;G1788,G909,G562;4.509014;4.509014;3.524552
25;G356,G470;0.005544;0.005544;0.000000
26;G1199,G1200;2.497640;2.497640;0.000000
27;G701,G706;0.005411;0.005411;0.000000
28;G554,G572;0.000280;0.000280;0.000000
29;G228,G255;0.055768;0.055768;0.000000
30;G1188,G837,G932,G881,G1567,G446;2.964725;3.084925;0.268776
31;G1421,G560;5.000000;5.000000;0.000000
32;G139,G204;1.002647;1.002647;0.000000
33;G216,G508;0.625259;0.625259;0.000000
34;G1061,G982,G1616;2.024244;2.024244;0.000000
35;G1154,G302;2.495375;2.495375;0.000000
36;G04,G1246,G1308,G258,G145,G1577;13.838070;13.838070;0.000000
37;G1261,G1432,G693,G764;10.516990;10.516990;0.000000
38;G1476,G1617,G924;1.000000;1.000000;0.000000
39;G1604,G1821,G1704;1.040494;1.040494;0.057268
40;G1544,G1630,G545,G1701;8.000000;8.000000;0.000000
41;G1192,G782;1.001818;1.001818;0.000000
42;G1285,G1334;4.518570;4.518570;0.000000
43;G1351,G1615,G1967;0.442366;0.442366;0.000000
44;G1359,G1496,G1994;1.500000;1.500000;0.000000
45;G1661,G1693,G627;6.051524;6.051524;4.315507
46;G1948,G334,G1960;1.802791;1.802791;0.000000
47;G1763,G1769;0.505790;0.505790;0.000000
48;G1303,G623,G778,G917,G1578,G1570;0.385328;0.481269;0.214530
49;G1238,G1537,G1786,G669;1.066052;1.066052;0.000000
50;G1008,G1449,G637,G1011,G1571,G1603,G1610,G882,G1823,G621,G201,G1732;3.617492;2.995595;2.106283
51;G1302,G60,G214;6.004818;6.004818;5.663668
52;G1461,G1585,G1715;2.500824;2.500824;2.120156
53;G164,G168,G1958;5.271192;5.271192;2.444903
